更新时间: 2026-04-22 20:54:10（北京时间）

更新时间,#genre#
2026-04-22 20:54:10,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
山东卫视,http://121.230.144.64:8000/rtp/239.49.8.7:9306$江苏电信
山东卫视,http://223.10.214.111:6000/rtp/239.1.1.47:8047$山西电信
山东卫视,http://183.151.27.188:4022/rtp/233.50.201.105:5140$浙江电信
山东卫视,http://183.151.27.188:4022/rtp/233.50.200.127:5140$浙江电信
山东卫视,http://183.151.27.188:4022/rtp/233.50.202.108:5140$浙江电信
山东卫视,http://220.192.130.71:8002/rtp/225.0.4.106:7980$重庆市联通
山东卫视,http://220.192.130.71:8002/rtp/225.0.4.199:7980$重庆市联通
山东卫视,http://121.238.250.95:8800/rtp/239.49.8.7:9306$江苏电信
辽宁卫视,http://27.11.252.52:8002/rtp/225.0.4.98:7980$重庆市联通
辽宁卫视,http://121.230.144.64:8000/rtp/239.49.8.48:8000$江苏电信
辽宁卫视,http://223.10.214.111:6000/rtp/239.1.1.42:8042$山西电信
辽宁卫视,http://183.151.27.188:4022/rtp/233.50.201.141:5140$浙江电信
辽宁卫视,http://183.151.27.188:4022/rtp/233.50.200.129:5140$浙江电信
辽宁卫视,http://183.151.27.188:4022/rtp/233.50.200.173:5140$浙江电信
辽宁卫视,http://220.192.130.71:8002/rtp/225.0.4.98:7980$重庆市联通
辽宁卫视,http://121.238.250.95:8800/rtp/239.49.8.48:8000$江苏电信
黑龙江卫视,http://27.11.252.52:8002/rtp/225.0.4.201:7980$重庆市联通
黑龙江卫视,http://121.230.144.64:8000/rtp/239.49.8.14:9426$江苏电信
黑龙江卫视,http://223.10.214.111:6000/rtp/239.1.1.37:8037$山西电信
黑龙江卫视,http://183.151.27.188:4022/rtp/233.50.201.115:5140$浙江电信
黑龙江卫视,http://183.151.27.188:4022/rtp/233.50.200.189:5140$浙江电信
黑龙江卫视,http://220.192.130.71:8002/rtp/225.0.4.201:7980$重庆市联通
黑龙江卫视,http://121.238.250.95:8800/rtp/239.49.8.14:9426$江苏电信
吉林卫视,http://121.230.144.64:8000/rtp/239.49.8.113:8000$江苏电信
吉林卫视,http://223.10.214.111:6000/rtp/239.1.1.30:8030$山西电信
吉林卫视,http://183.151.27.188:4022/rtp/233.50.200.164:5140$浙江电信
吉林卫视,http://183.151.27.188:4022/rtp/233.50.202.42:5140$浙江电信
吉林卫视,http://121.238.250.95:8800/rtp/239.49.8.113:8000$江苏电信
内蒙古卫视,http://223.10.214.111:6000/rtp/239.1.1.60:8060$山西电信
宁夏卫视,http://223.10.214.111:6000/rtp/239.1.1.56:8056$山西电信
宁夏卫视,http://183.151.27.188:4022/rtp/233.50.202.45:5140$浙江电信
山西卫视,http://223.10.214.111:6000/rtp/239.1.1.1:8001$山西电信
陕西卫视,http://223.10.214.111:6000/rtp/239.1.1.50:8050$山西电信
甘肃卫视,http://27.11.252.52:8002/rtp/225.0.4.181:7980$重庆市联通
甘肃卫视,http://223.10.214.111:6000/rtp/239.1.1.51:8051$山西电信
甘肃卫视,http://183.151.27.188:4022/rtp/233.50.200.163:5140$浙江电信
甘肃卫视,http://220.192.130.71:8002/rtp/225.0.4.181:7980$重庆市联通
青海卫视,http://223.10.214.111:6000/rtp/239.1.1.53:8053$山西电信
新疆卫视,http://27.11.252.52:8002/rtp/225.0.4.60:7980$重庆市联通
新疆卫视,http://223.10.214.111:6000/rtp/239.1.1.59:8059$山西电信
